Time,Elapsed[s],Voltage[V]
05:54:19,0.001,1.02
05:54:19,0.002,1.03
05:54:19,0.004,1.05
05:54:19,0.005,1.07
05:54:19,0.007,1.09
05:54:19,0.008,1.1
05:54:19,0.009,1.12
05:54:19,0.011,1.14
05:54:19,0.012,1.16
05:54:19,0.014,1.17
05:54:19,0.015,1.19
05:54:19,0.017,1.21
05:54:19,0.018,1.22
05:54:19,0.020,1.24
05:54:19,0.021,1.26
05:54:19,0.022,1.28
05:54:19,0.024,1.29
05:54:19,0.025,1.31
05:54:19,0.027,1.33
05:54:19,0.028,1.34
05:54:19,0.030,1.36
05:54:19,0.031,1.37
05:54:19,0.033,1.39
05:54:19,0.034,1.41
05:54:19,0.035,1.42
05:54:19,0.037,1.44
05:54:19,0.038,1.45
05:54:19,0.040,1.47
05:54:19,0.041,1.48
05:54:20,0.044,1.5
05:54:20,0.045,1.52
05:54:20,0.046,1.53
05:54:20,0.048,1.54
05:54:20,0.049,1.56
05:54:20,0.051,1.57
05:54:20,0.052,1.59
05:54:20,0.054,1.6
05:54:20,0.055,1.62
05:54:20,0.057,1.63
05:54:20,0.058,1.64
05:54:20,0.059,1.66
05:54:20,0.061,1.67
05:54:20,0.062,1.68
05:54:20,0.064,1.69
05:54:20,0.065,1.71
05:54:20,0.067,1.72
05:54:20,0.068,1.73
05:54:20,0.070,1.74
05:54:20,0.071,1.75
05:54:20,0.072,1.77
05:54:20,0.074,1.78
05:54:20,0.075,1.79
05:54:20,0.077,1.8
05:54:20,0.078,1.81
05:54:20,0.080,1.82
05:54:20,0.081,1.83
05:54:20,0.083,1.84
05:54:20,0.084,1.85
05:54:20,0.086,1.86
05:54:20,0.088,1.87
05:54:20,0.089,1.87
05:54:20,0.091,1.88
05:54:20,0.092,1.89
05:54:20,0.094,1.9
05:54:20,0.095,1.91
05:54:20,0.097,1.91
05:54:20,0.098,1.92
05:54:20,0.100,1.93
05:54:20,0.101,1.93
05:54:20,0.102,1.94
05:54:20,0.104,1.95
05:54:20,0.105,1.95
05:54:20,0.107,1.96
05:54:20,0.108,1.96
05:54:20,0.110,1.97
05:54:20,0.111,1.97
05:54:20,0.113,1.97
05:54:20,0.114,1.98
05:54:20,0.116,1.98
05:54:20,0.117,1.98
05:54:20,0.119,1.99
05:54:20,0.120,1.99
05:54:20,0.122,1.99
05:54:20,0.123,1.99
05:54:20,0.125,2
05:54:20,0.126,2
05:54:20,0.129,2
05:54:20,0.130,2
05:54:20,0.132,2
05:54:20,0.133,2
05:54:20,0.135,2
05:54:20,0.136,2
05:54:20,0.138,2
05:54:20,0.139,2
05:54:20,0.141,2
05:54:20,0.142,1.99
05:54:20,0.144,1.99
05:54:20,0.145,1.99
05:54:20,0.146,1.99
05:54:20,0.148,1.98
05:54:20,0.149,1.98
05:54:20,0.151,1.98
05:54:20,0.152,1.97
05:54:20,0.154,1.97
05:54:20,0.155,1.97
05:54:20,0.157,1.96
05:54:20,0.158,1.96
05:54:20,0.160,1.95
05:54:20,0.161,1.95
05:54:20,0.163,1.94
05:54:20,0.164,1.93
05:54:20,0.166,1.93
05:54:20,0.167,1.92
05:54:20,0.169,1.91
05:54:20,0.171,1.91
05:54:20,0.173,1.9
05:54:20,0.174,1.89
05:54:20,0.176,1.88
05:54:20,0.177,1.87
05:54:20,0.179,1.87
05:54:20,0.180,1.86
05:54:20,0.182,1.85
05:54:20,0.183,1.84
05:54:20,0.185,1.83
05:54:20,0.186,1.82
05:54:20,0.188,1.81
05:54:20,0.189,1.8
05:54:20,0.191,1.79
05:54:20,0.192,1.78
05:54:20,0.194,1.77
05:54:20,0.195,1.75
05:54:20,0.197,1.74
05:54:20,0.198,1.73
05:54:20,0.199,1.72
05:54:20,0.201,1.71
05:54:20,0.202,1.69
05:54:20,0.204,1.68
05:54:20,0.205,1.67
05:54:20,0.207,1.66
05:54:20,0.208,1.64
05:54:20,0.210,1.63
05:54:20,0.211,1.62
05:54:20,0.214,1.6
05:54:20,0.215,1.59
05:54:20,0.217,1.57
05:54:20,0.218,1.56
05:54:20,0.220,1.54
05:54:20,0.221,1.53
05:54:20,0.223,1.52
05:54:20,0.224,1.5
05:54:20,0.226,1.48
05:54:20,0.227,1.47
05:54:20,0.229,1.45
05:54:20,0.230,1.44
05:54:20,0.232,1.42
05:54:20,0.233,1.41
05:54:20,0.235,1.39
05:54:20,0.236,1.37
