Time,Elapsed[s],Voltage[V]
14:51:06,0.000,3.736125
14:51:06,0.010,3.736125
14:51:06,0.020,3.7286251
14:51:06,0.030,3.7286251
14:51:06,0.040,3.7286251
14:51:06,0.051,3.7286251
14:51:06,0.061,3.7286251
14:51:06,0.071,3.7286251
14:51:06,0.081,3.7286251
14:51:06,0.091,3.7286251
14:51:06,0.107,3.7286251
14:51:06,0.124,3.7286251
14:51:07,0.143,3.7286251
14:51:07,0.160,3.7286251
14:51:07,0.178,3.7286251
14:51:07,0.195,3.7323751
14:51:07,0.214,3.7323751
14:51:07,0.231,3.7323751
14:51:07,0.248,3.7323751
14:51:07,0.266,3.7323751
14:51:07,0.284,3.7323751
14:51:07,0.302,3.736125
14:51:07,0.319,3.736125
14:51:07,0.336,3.736125
14:51:07,0.355,3.736125
14:51:07,0.372,3.736125
14:51:07,0.390,3.7286251
14:51:07,0.408,3.7286251
14:51:07,0.425,3.7286251
14:51:07,0.443,3.7286251
14:51:07,0.460,3.7286251
14:51:07,0.479,3.7286251
14:51:07,0.496,3.7286251
14:51:07,0.514,3.7286251
14:51:07,0.531,3.7286251
14:51:07,0.549,3.7286251
14:51:07,0.567,3.7323751
14:51:07,0.584,3.7323751
14:51:07,0.602,3.7323751
14:51:07,0.620,3.7323751
14:51:07,0.637,3.7323751
14:51:07,0.655,3.7323751
14:51:07,0.672,3.736125
14:51:07,0.691,3.736125
14:51:07,0.708,3.736125
14:51:07,0.726,3.736125
14:51:07,0.744,3.7323751
14:51:07,0.761,3.7286251
14:51:07,0.779,3.7286251
14:51:07,0.796,3.7286251
14:51:07,0.815,3.7286251
14:51:07,0.832,3.7286251
14:51:07,0.849,3.7286251
14:51:07,0.867,3.7286251
14:51:07,0.885,3.7286251
14:51:07,0.903,3.7286251
14:51:07,0.920,3.7323751
14:51:07,0.937,3.7323751
14:51:07,0.956,3.7323751
14:51:07,0.973,3.7323751
14:51:07,0.991,3.7323751
14:51:07,1.009,3.7323751
14:51:07,1.028,3.736125
14:51:07,1.046,3.736125
14:51:07,1.064,3.736125
14:51:07,1.084,3.736125
14:51:07,1.102,3.736125
14:51:07,1.121,3.7286251
14:51:08,1.140,3.7286251
14:51:08,1.159,3.7286251
14:51:08,1.177,3.7286251
14:51:08,1.196,3.7286251
14:51:08,1.215,3.7323751
14:51:08,1.233,3.7286251
14:51:08,1.252,3.7286251
14:51:08,1.270,3.7323751
14:51:08,1.290,3.7323751
14:51:08,1.308,3.736125
14:51:08,1.327,3.736125
14:51:08,1.346,3.736125
14:51:08,1.364,3.736125
14:51:08,1.383,3.736125
14:51:08,1.401,3.736125
14:51:08,1.421,3.7398751
14:51:08,1.439,3.736125
14:51:08,1.458,3.736125
14:51:08,1.477,3.736125
14:51:08,1.496,3.7286251
14:51:08,1.514,3.7286251
14:51:08,1.532,3.7286251
14:51:08,1.552,3.7286251
14:51:08,1.570,3.7286251
14:51:08,1.589,3.7286251
14:51:08,1.608,3.7323751
14:51:08,1.627,3.7323751
14:51:08,1.645,3.7323751
14:51:08,1.664,3.736125
14:51:08,1.683,3.736125
14:51:08,1.701,3.736125
14:51:08,1.720,3.736125
